id_cli,full_name,contact_info,reg_date,cat,int_score
C_00091,User_91,user_91@domain.com,2022-07-25,A,32.73
C_00092,User_92,user_92@domain.com,2023-09-05,B,7.41
C_00093,User_93,user_93@domain.com,2021-01-17,B,37.86
C_00094,User_94,user_94@domain.com,2019-11-30,A,64.35
C_00095,User_95,user_95@domain.com,2021-01-28,B,57.75
C_00096,User_96,user_96@domain.com,2020-12-28,A,46.68
C_00097,User_97,user_97@domain.com,2020-03-05,A,49.67
C_00098,User_98,user_98@domain.com,2022-10-04,A,39.67
C_00099,User_99,user_99@domain.com,2020-06-30,A,53.07
C_00100,User_100,invalid_100,2022-12-08,A,61.49
C_00101,User_101,user_101@domain.com,2022-10-31,A,25.76
C_00102,User_102,user_102@domain.com,2022-08-20,B,54.49
C_00103,User_103,user_103@domain.com,2019-05-27,A,63.99
C_00104,User_104,user_104@domain.com,2022-06-01,A,43.77
C_00105,User_105,user_105@domain.com,2022-07-24,X,60.51
C_00106,User_106,user_106@domain.com,2019-12-17,A,92.22
C_00107,User_107,user_107@domain.com,2021-12-29,A,48.43
C_00108,User_108,user_108@domain.com,2023-02-02,B,55.9
C_00109,User_109,user_109@domain.com,2020-05-16,A,38.93
C_00110,User_110,invalid_110,2019-12-01,A,52.72
C_00111,User_111,user_111@domain.com,2021-08-04,A,56.9
C_00112,User_112,user_112@domain.com,2021-02-16,A,52.92
C_00113,User_113,user_113@domain.com,2020-07-06,X,34.7
C_00114,User_114,user_114@domain.com,2022-08-03,C,53.1
C_00115,User_115,user_115@domain.com,2022-11-10,B,71.93
C_00116,User_116,user_116@domain.com,2022-02-14,C,56.73
C_00117,User_117,user_117@domain.com,2020-03-25,C,64.43
C_00118,User_118,user_118@domain.com,2022-11-03,A,46.44
C_00119,User_119,user_119@domain.com,2020-10-26,C,61.25
C_00120,User_120,invalid_120,2023-09-23,A,54.19
C_00121,User_121,user_121@domain.com,2023-04-23,C,35.74
C_00122,User_122,user_122@domain.com,2023-05-09,C,54.78
C_00123,User_123,user_123@domain.com,2019-04-25,A,35.12
C_00124,User_124,user_124@domain.com,2020-04-14,A,40.51
C_00125,User_125,user_125@domain.com,2023-08-11,A,52.84
C_00126,User_126,user_126@domain.com,2019-03-07,A,54.46
C_00127,User_127,user_127@domain.com,2023-07-07,C,32.16
C_00128,User_128,user_128@domain.com,2020-10-08,C,65.81
C_00129,User_129,user_129@domain.com,2021-04-01,A,58.58
C_00130,User_130,invalid_130,2020-07-02,A,39.43
C_00131,User_131,user_131@domain.com,2019-05-16,A,26.94
C_00132,User_132,user_132@domain.com,2020-03-08,A,47.83
C_00133,User_133,user_133@domain.com,2022-03-07,A,43.31
C_00134,User_134,user_134@domain.com,2023-11-30,A,51.7
C_00135,User_135,user_135@domain.com,2023-01-10,X,44.55
C_00136,User_136,user_136@domain.com,2020-10-06,A,19.89
C_00137,User_137,user_137@domain.com,2020-03-11,A,44.17
C_00138,User_138,user_138@domain.com,2022-09-04,B,45.42
C_00139,User_139,user_139@domain.com,2021-10-19,A,59.5
C_00140,User_140,invalid_140,2021-03-21,X,39.53
C_00141,User_141,user_141@domain.com,2022-08-09,X,75.18
C_00142,User_142,user_142@domain.com,2021-07-28,A,21.33
C_00143,User_143,user_143@domain.com,2019-10-20,A,69.67
C_00144,User_144,user_144@domain.com,2020-06-26,A,46.64
C_00145,User_145,user_145@domain.com,2019-10-13,A,62.89
C_00146,User_146,user_146@domain.com,2020-05-20,A,51.2
C_00147,User_147,user_147@domain.com,2023-03-06,B,67.09
C_00148,User_148,user_148@domain.com,2022-02-23,A,44.19
C_00149,User_149,user_149@domain.com,2022-01-08,A,33.52
C_00150,User_150,invalid_150,2020-06-22,A,71.31
C_00151,User_151,user_151@domain.com,2023-03-10,X,48.3
C_00152,User_152,user_152@domain.com,2022-04-12,A,53.32
C_00153,User_153,user_153@domain.com,2021-05-27,A,68.52
C_00154,User_154,user_154@domain.com,2022-04-10,A,34.52
C_00155,User_155,user_155@domain.com,2021-03-28,X,58.93
C_00156,User_156,user_156@domain.com,2021-01-11,A,41.15
C_00157,User_157,user_157@domain.com,2020-03-25,B,48.02
C_00158,User_158,user_158@domain.com,2019-10-11,B,51.08
C_00159,User_159,user_159@domain.com,2021-11-09,A,27.5
C_00160,User_160,invalid_160,2021-10-07,B,38.32
C_00161,User_161,user_161@domain.com,2019-07-06,A,70.27
C_00162,User_162,user_162@domain.com,2023-03-28,B,63.29
C_00163,User_163,user_163@domain.com,2019-04-07,B,49.06
C_00164,User_164,user_164@domain.com,2023-10-30,A,53.65
C_00165,User_165,user_165@domain.com,2019-08-13,A,45.59
C_00166,User_166,user_166@domain.com,2019-11-10,C,70.35
C_00167,User_167,user_167@domain.com,2022-07-09,A,46.99
C_00168,User_168,user_168@domain.com,2019-11-24,A,53.48
C_00169,User_169,user_169@domain.com,2023-06-11,A,67.19
C_00170,User_170,invalid_170,2022-10-25,A,38.34
C_00171,User_171,user_171@domain.com,2021-05-14,B,73.38
C_00172,User_172,user_172@domain.com,2022-05-06,A,27.04
C_00173,User_173,user_173@domain.com,2019-05-11,A,74.44
C_00174,User_174,user_174@domain.com,2021-02-27,A,44.41
C_00175,User_175,user_175@domain.com,2021-02-20,B,46.36
C_00176,User_176,user_176@domain.com,2022-05-05,A,21.65
C_00177,User_177,user_177@domain.com,2021-08-16,B,43.18
C_00178,User_178,user_178@domain.com,2021-12-19,A,34.4
C_00179,User_179,user_179@domain.com,2020-05-29,X,40.89
C_00180,User_180,invalid_180,2022-02-07,A,47.94
C_00181,User_181,user_181@domain.com,2023-10-29,A,64.37
C_00182,User_182,user_182@domain.com,2019-01-24,A,53.11
C_00183,User_183,user_183@domain.com,2022-10-25,X,54.62
C_00184,User_184,user_184@domain.com,2023-01-16,C,33.57
C_00185,User_185,user_185@domain.com,2019-08-23,A,36.79
C_00186,User_186,user_186@domain.com,2022-10-28,B,76.98
C_00187,User_187,user_187@domain.com,2022-01-04,C,38.97
C_00188,User_188,user_188@domain.com,2023-03-18,A,74.84
C_00189,User_189,user_189@domain.com,2020-06-30,A,46.35
C_00190,User_190,invalid_190,2023-04-24,A,50.03
C_00191,User_191,user_191@domain.com,2022-08-05,A,66.06
C_00192,User_192,user_192@domain.com,2020-11-27,C,69.08
C_00193,User_193,user_193@domain.com,2019-08-17,X,48.34
C_00194,User_194,user_194@domain.com,2020-08-24,B,44.18
C_00195,User_195,user_195@domain.com,2021-06-09,A,49.16
C_00196,User_196,user_196@domain.com,2019-11-20,A,55.07
C_00197,User_197,user_197@domain.com,2021-07-18,B,63.37
C_00198,User_198,user_198@domain.com,2019-01-07,C,50.06
C_00199,User_199,user_199@domain.com,2023-01-18,C,59.28
C_00200,User_200,invalid_200,2023-11-29,B,74.58
C_00201,User_201,user_201@domain.com,2023-01-13,B,55.72
C_00202,User_202,user_202@domain.com,2020-06-23,A,54.67
C_00203,User_203,user_203@domain.com,2021-10-22,A,27.22
C_00204,User_204,user_204@domain.com,2023-04-10,C,10.54
C_00205,User_205,user_205@domain.com,2020-01-01,B,55.83
C_00206,User_206,user_206@domain.com,2021-11-05,A,48.58
C_00207,User_207,user_207@domain.com,2019-08-06,A,42.28
C_00208,User_208,user_208@domain.com,2023-11-18,B,53.65
C_00209,User_209,user_209@domain.com,2022-07-04,A,49.09
C_00210,User_210,invalid_210,2020-09-03,A,66.92
C_00211,User_211,user_211@domain.com,2023-09-20,A,51.29
C_00212,User_212,user_212@domain.com,2022-08-01,B,38.8
C_00213,User_213,user_213@domain.com,2021-11-05,B,64.85
C_00214,User_214,user_214@domain.com,2022-06-01,A,46.74
C_00215,User_215,user_215@domain.com,2020-02-12,B,57.9
C_00216,User_216,user_216@domain.com,2019-11-10,A,42.84
C_00217,User_217,user_217@domain.com,2021-02-04,A,40.25
C_00218,User_218,user_218@domain.com,2023-04-11,B,51.26
C_00219,User_219,user_219@domain.com,2019-11-27,B,50.19
C_00220,User_220,invalid_220,2022-01-09,C,57.2
C_00221,User_221,user_221@domain.com,2023-05-14,B,45.97
C_00222,User_222,user_222@domain.com,2021-12-22,A,22.45
C_00223,User_223,user_223@domain.com,2019-01-02,A,43.51
C_00224,User_224,user_224@domain.com,2022-05-11,A,61.91
C_00225,User_225,user_225@domain.com,2020-10-25,A,45.54
C_00226,User_226,user_226@domain.com,2021-09-27,A,46.3
C_00227,User_227,user_227@domain.com,2019-02-09,X,64.8
C_00228,User_228,user_228@domain.com,2019-08-18,A,39.32
C_00229,User_229,user_229@domain.com,2021-01-13,C,26.86
C_00230,User_230,invalid_230,2023-12-05,B,47.59
C_00231,User_231,user_231@domain.com,2023-08-31,B,42.74
C_00232,User_232,user_232@domain.com,2023-07-11,A,35.51
C_00233,User_233,user_233@domain.com,2020-09-21,A,47.37
C_00234,User_234,user_234@domain.com,2020-05-05,A,57.37
C_00235,User_235,user_235@domain.com,2019-04-29,A,49.86
C_00236,User_236,user_236@domain.com,2020-05-08,B,54.6
C_00237,User_237,user_237@domain.com,2023-12-04,A,77.2
C_00238,User_238,user_238@domain.com,2022-03-07,A,44.86
C_00239,User_239,user_239@domain.com,2019-06-11,B,54.18
C_00240,User_240,invalid_240,2019-06-25,A,42.36
C_00241,User_241,user_241@domain.com,2023-02-07,X,37.3
C_00242,User_242,user_242@domain.com,2021-09-22,X,41.23
C_00243,User_243,user_243@domain.com,2023-07-30,X,42.82
C_00244,User_244,user_244@domain.com,2019-05-22,A,55.39
C_00245,User_245,user_245@domain.com,2023-04-07,A,85.24
C_00246,User_246,user_246@domain.com,2021-12-26,X,39.26
C_00247,User_247,user_247@domain.com,2023-04-18,A,43.75
C_00248,User_248,user_248@domain.com,2019-09-15,X,49.05
C_00249,User_249,user_249@domain.com,2019-09-20,X,55.94
C_00250,User_250,invalid_250,2022-09-13,C,53.95
C_00251,User_251,user_251@domain.com,2021-08-31,A,69.26
C_00252,User_252,user_252@domain.com,2022-01-30,A,13.6
C_00253,User_253,user_253@domain.com,2019-12-05,C,14.2
C_00254,User_254,user_254@domain.com,2020-06-26,A,42.56
C_00255,User_255,user_255@domain.com,2021-12-16,A,66.46
C_00256,User_256,user_256@domain.com,2023-11-22,A,26.52
C_00257,User_257,user_257@domain.com,2022-05-27,X,4.89
C_00258,User_258,user_258@domain.com,2021-05-16,B,58.57
C_00259,User_259,user_259@domain.com,2020-03-09,A,53.65
C_00260,User_260,invalid_260,2022-01-09,A,33.65
C_00261,User_261,user_261@domain.com,2023-03-27,B,35.22
C_00262,User_262,user_262@domain.com,2023-02-03,X,35.45
C_00263,User_263,user_263@domain.com,2022-11-13,A,51.66
C_00264,User_264,user_264@domain.com,2020-02-16,A,40.61
C_00265,User_265,user_265@domain.com,2022-12-31,C,57.41
C_00266,User_266,user_266@domain.com,2020-09-30,B,7.18
C_00267,User_267,user_267@domain.com,2021-03-28,B,37.15
C_00268,User_268,user_268@domain.com,2022-10-07,B,33.11
C_00269,User_269,user_269@domain.com,2022-08-23,A,46.15
C_00270,User_270,invalid_270,2021-02-03,A,41.93
C_00271,User_271,user_271@domain.com,2021-06-16,C,61.97
C_00272,User_272,user_272@domain.com,2021-11-25,C,22.11
C_00273,User_273,user_273@domain.com,2021-07-13,C,50.68
C_00274,User_274,user_274@domain.com,2019-09-05,X,58.38
C_00275,User_275,user_275@domain.com,2020-05-22,A,77.85
C_00276,User_276,user_276@domain.com,2020-04-05,A,42.77
C_00277,User_277,user_277@domain.com,2019-05-12,B,54.87
C_00278,User_278,user_278@domain.com,2020-11-23,B,22.94
C_00279,User_279,user_279@domain.com,2019-02-13,B,14.12
C_00280,User_280,invalid_280,2022-04-19,B,62.67
C_00281,User_281,user_281@domain.com,2022-02-08,C,49.92
C_00282,User_282,user_282@domain.com,2020-04-16,A,67.68
C_00283,User_283,user_283@domain.com,2022-04-20,A,29.4
C_00284,User_284,user_284@domain.com,2020-03-27,A,57.8
C_00285,User_285,user_285@domain.com,2019-01-15,A,78.03
C_00286,User_286,user_286@domain.com,2019-05-26,A,56.3
C_00287,User_287,user_287@domain.com,2022-12-20,A,54.15
C_00288,User_288,user_288@domain.com,2022-07-16,A,50.13
C_00289,User_289,user_289@domain.com,2019-05-01,A,26.44
C_00290,User_290,invalid_290,2020-04-13,A,70.33
C_00291,User_291,user_291@domain.com,2019-05-19,A,40.84
C_00292,User_292,user_292@domain.com,2019-03-06,A,57.57
C_00293,User_293,user_293@domain.com,2023-10-27,C,26.55
C_00294,User_294,user_294@domain.com,2020-11-07,A,32.31
C_00295,User_295,user_295@domain.com,2019-05-26,A,71.53
C_00296,User_296,user_296@domain.com,2021-11-18,A,44.79
C_00297,User_297,user_297@domain.com,2020-05-02,B,71.8
C_00298,User_298,user_298@domain.com,2020-07-24,A,48.83
C_00299,User_299,user_299@domain.com,2022-10-02,B,22.37
C_00300,User_300,invalid_300,2021-09-21,A,63.38
C_00301,User_301,user_301@domain.com,2020-03-14,A,41.15
C_00302,User_302,user_302@domain.com,2022-01-09,A,60.48
C_00303,User_303,user_303@domain.com,2019-09-28,A,50.38
C_00304,User_304,user_304@domain.com,2023-01-21,B,26.85
C_00305,User_305,user_305@domain.com,2022-03-15,B,52.46
C_00306,User_306,user_306@domain.com,2022-03-26,X,82.94
C_00307,User_307,user_307@domain.com,2021-08-26,A,57.39
C_00308,User_308,user_308@domain.com,2020-05-12,A,49.14
C_00309,User_309,user_309@domain.com,2023-05-26,B,66.13
C_00310,User_310,invalid_310,2021-08-26,A,53.16
C_00311,User_311,user_311@domain.com,2023-07-12,A,53.14
C_00312,User_312,user_312@domain.com,2021-04-13,A,33.63
C_00313,User_313,user_313@domain.com,2020-01-25,A,53.51
C_00314,User_314,user_314@domain.com,2019-07-13,X,65.53
C_00315,User_315,user_315@domain.com,2019-07-18,C,37.46
C_00316,User_316,user_316@domain.com,2022-09-11,B,71.37
C_00317,User_317,user_317@domain.com,2021-06-01,A,48.62
C_00318,User_318,user_318@domain.com,2020-12-26,A,36.68
C_00319,User_319,user_319@domain.com,2021-05-17,A,64.96
C_00320,User_320,invalid_320,2021-04-21,A,45.7
C_00321,User_321,user_321@domain.com,2021-08-14,A,61.39
C_00322,User_322,user_322@domain.com,2023-11-05,B,45.62
C_00323,User_323,user_323@domain.com,2023-02-02,B,49.1
C_00324,User_324,user_324@domain.com,2019-04-21,A,57.4
C_00325,User_325,user_325@domain.com,2022-10-11,X,54.36
C_00326,User_326,user_326@domain.com,2022-08-31,B,20.07
C_00327,User_327,user_327@domain.com,2022-08-16,A,33.18
C_00328,User_328,user_328@domain.com,2019-07-21,B,63.94
C_00329,User_329,user_329@domain.com,2019-05-05,A,48.02
C_00330,User_330,invalid_330,2021-04-04,A,42.14
C_00331,User_331,user_331@domain.com,2023-01-31,A,29.62
C_00332,User_332,user_332@domain.com,2020-11-25,B,33.8
C_00333,User_333,user_333@domain.com,2023-06-28,A,19.67
C_00334,User_334,user_334@domain.com,2023-10-31,A,48.48
C_00335,User_335,user_335@domain.com,2019-08-12,A,41.02
C_00336,User_336,user_336@domain.com,2020-05-24,A,35.5
C_00337,User_337,user_337@domain.com,2020-01-28,C,48.98
C_00338,User_338,user_338@domain.com,2020-01-25,B,55.46
C_00339,User_339,user_339@domain.com,2022-01-03,A,81.4
C_00340,User_340,invalid_340,2021-07-07,A,27.32
C_00341,User_341,user_341@domain.com,2019-10-15,A,67.39
C_00342,User_342,user_342@domain.com,2021-05-14,A,64.6
C_00343,User_343,user_343@domain.com,2020-01-11,A,38.31
C_00344,User_344,user_344@domain.com,2020-07-24,A,53.05
C_00345,User_345,user_345@domain.com,2021-08-05,A,43.14
C_00346,User_346,user_346@domain.com,2020-05-26,B,52.79
C_00347,User_347,user_347@domain.com,2023-11-26,B,72.64
C_00348,User_348,user_348@domain.com,2019-06-04,A,59.08
C_00349,User_349,user_349@domain.com,2021-06-26,A,57.63
C_00350,User_350,invalid_350,2023-07-13,B,43.55
C_00351,User_351,user_351@domain.com,2023-10-31,A,27.74
C_00352,User_352,user_352@domain.com,2023-10-20,C,46.87
C_00353,User_353,user_353@domain.com,2022-02-01,B,68.1
C_00354,User_354,user_354@domain.com,2019-07-20,A,27.09
C_00355,User_355,user_355@domain.com,2019-04-14,A,34.17
C_00356,User_356,user_356@domain.com,2022-08-28,B,51.89
C_00357,User_357,user_357@domain.com,2022-01-12,A,35.23
C_00358,User_358,user_358@domain.com,2023-09-09,A,38.11
C_00359,User_359,user_359@domain.com,2019-01-31,X,43.65
C_00360,User_360,invalid_360,2019-07-11,A,29.52
C_00361,User_361,user_361@domain.com,2023-03-24,A,35.39
C_00362,User_362,user_362@domain.com,2023-10-05,B,60.55
C_00363,User_363,user_363@domain.com,2020-04-29,A,30.39
C_00364,User_364,user_364@domain.com,2019-12-07,A,26.03
C_00365,User_365,user_365@domain.com,2021-04-12,X,40.55
C_00366,User_366,user_366@domain.com,2021-09-21,A,60.98
C_00367,User_367,user_367@domain.com,2021-09-12,X,47.05
C_00368,User_368,user_368@domain.com,2020-03-13,X,43.03
C_00369,User_369,user_369@domain.com,2023-11-06,A,50.67
C_00370,User_370,invalid_370,2021-04-01,A,23.81
C_00371,User_371,user_371@domain.com,2019-05-01,A,57.42
C_00372,User_372,user_372@domain.com,2019-12-04,A,55.75
C_00373,User_373,user_373@domain.com,2021-02-15,A,43.86
C_00374,User_374,user_374@domain.com,2019-01-05,B,65.09
C_00375,User_375,user_375@domain.com,2021-03-10,A,33.09
C_00376,User_376,user_376@domain.com,2020-06-27,A,66.92
C_00377,User_377,user_377@domain.com,2023-05-25,C,52.32
C_00378,User_378,user_378@domain.com,2023-05-27,A,44.95
C_00379,User_379,user_379@domain.com,2021-07-20,C,49.7
C_00380,User_380,invalid_380,2020-08-07,A,48.39
C_00381,User_381,user_381@domain.com,2021-05-16,A,68.3
C_00382,User_382,user_382@domain.com,2022-11-27,B,33.85
C_00383,User_383,user_383@domain.com,2023-02-05,B,38.56
C_00384,User_384,user_384@domain.com,2023-05-24,C,65.54
C_00385,User_385,user_385@domain.com,2022-02-12,B,41.07
C_00386,User_386,user_386@domain.com,2022-09-17,C,63.51
C_00387,User_387,user_387@domain.com,2023-01-11,A,75.49
C_00388,User_388,user_388@domain.com,2021-09-23,A,43.97
C_00389,User_389,user_389@domain.com,2019-11-14,B,60.22
C_00390,User_390,invalid_390,2020-01-24,C,32.69
C_00391,User_391,user_391@domain.com,2020-08-30,X,61.32
C_00392,User_392,user_392@domain.com,2020-03-21,A,52.99
C_00393,User_393,user_393@domain.com,2019-04-30,A,57.1
C_00394,User_394,user_394@domain.com,2022-04-01,B,40.32
C_00395,User_395,user_395@domain.com,2023-02-15,A,25.08
C_00396,User_396,user_396@domain.com,2022-01-15,X,57.55
C_00397,User_397,user_397@domain.com,2019-05-05,C,19.05
C_00398,User_398,user_398@domain.com,2023-03-12,A,45.24
C_00399,User_399,user_399@domain.com,2020-10-04,B,64.12
C_00400,User_400,invalid_400,2019-04-28,B,52.88
C_00401,User_401,user_401@domain.com,2019-04-13,A,79.23
C_00402,User_402,user_402@domain.com,2022-04-11,X,65.38
C_00403,User_403,user_403@domain.com,2021-09-03,A,40.19
C_00404,User_404,user_404@domain.com,2021-10-26,C,50.41
C_00405,User_405,user_405@domain.com,2023-10-13,A,49.29
C_00406,User_406,user_406@domain.com,2021-12-23,C,26.27
C_00407,User_407,user_407@domain.com,2019-11-19,A,35.89
C_00408,User_408,user_408@domain.com,2019-04-27,A,41.59
C_00409,User_409,user_409@domain.com,2021-11-06,X,19.46
C_00410,User_410,invalid_410,2019-06-14,A,50.71
C_00411,User_411,user_411@domain.com,2023-10-10,A,46.26
C_00412,User_412,user_412@domain.com,2020-01-16,X,24.91
C_00413,User_413,user_413@domain.com,2019-05-21,X,56.06
C_00414,User_414,user_414@domain.com,2022-05-03,A,60.74
C_00415,User_415,user_415@domain.com,2019-05-20,B,53.41
C_00416,User_416,user_416@domain.com,2022-10-14,A,45.14
C_00417,User_417,user_417@domain.com,2023-11-01,A,58.87
C_00418,User_418,user_418@domain.com,2020-04-26,A,60.2
C_00419,User_419,user_419@domain.com,2021-04-06,B,54.61
C_00420,User_420,invalid_420,2019-09-03,B,37.63
C_00421,User_421,user_421@domain.com,2022-03-12,B,54.15
C_00422,User_422,user_422@domain.com,2020-05-19,B,67.93
C_00423,User_423,user_423@domain.com,2022-03-31,A,41.05
C_00424,User_424,user_424@domain.com,2022-05-02,A,81.47
C_00425,User_425,user_425@domain.com,2019-03-23,A,42.12
C_00426,User_426,user_426@domain.com,2022-06-22,A,50.49
C_00427,User_427,user_427@domain.com,2019-06-17,A,39.91
C_00428,User_428,user_428@domain.com,2021-05-08,C,53.35
C_00429,User_429,user_429@domain.com,2022-09-08,A,23.87
C_00430,User_430,invalid_430,2022-04-10,A,41.81
C_00431,User_431,user_431@domain.com,2022-03-03,A,33.62
C_00432,User_432,user_432@domain.com,2021-12-06,B,52.03
C_00433,User_433,user_433@domain.com,2020-10-09,B,64.92
C_00434,User_434,user_434@domain.com,2020-06-18,A,59.69
C_00435,User_435,user_435@domain.com,2020-02-23,A,14.43
C_00436,User_436,user_436@domain.com,2022-10-03,B,80.63
C_00437,User_437,user_437@domain.com,2023-01-06,A,54.43
C_00438,User_438,user_438@domain.com,2020-10-05,C,38.35
C_00439,User_439,user_439@domain.com,2020-05-03,B,52.36
C_00440,User_440,invalid_440,2020-06-27,A,52.64
C_00441,User_441,user_441@domain.com,2021-03-21,A,40.0
C_00442,User_442,user_442@domain.com,2019-09-26,X,52.97
C_00443,User_443,user_443@domain.com,2022-10-07,A,40.89
C_00444,User_444,user_444@domain.com,2022-08-14,A,43.93
C_00445,User_445,user_445@domain.com,2020-09-06,C,39.71
C_00446,User_446,user_446@domain.com,2021-07-25,X,28.51
C_00447,User_447,user_447@domain.com,2020-10-09,X,52.19
C_00448,User_448,user_448@domain.com,2023-03-20,B,58.78
C_00449,User_449,user_449@domain.com,2019-05-29,A,57.72
C_00450,User_450,invalid_450,2019-01-20,A,62.3
C_00451,User_451,user_451@domain.com,2021-07-27,B,54.87
C_00452,User_452,user_452@domain.com,2022-06-26,A,42.01
C_00453,User_453,user_453@domain.com,2022-02-27,A,62.59
C_00454,User_454,user_454@domain.com,2019-07-24,X,29.64
